Taxon	Mnemonic	Scientific name	Common name	Synonym	Other Names	Reviewed	Rank	Lineage	Parent
3329	PICAB	Picea abies	Norway spruce	Picea excelsa	Picea abies (L.) H.Karst.; Picea montana; Picea montana Schur; Pinus abies L.	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Picea	3328
3334	PICEN	Picea engelmannii	Engelmann's spruce	Abies engelmannii	Picea engelmanni	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Picea	3328
3330	PICGL	Picea glauca	White spruce	Pinus glauca		reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Picea	3328
3335	PICMA	Picea mariana	Black spruce	Abies mariana		reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Picea	3328
39833	PICMX	Picea mexicana	Mexican spruce			reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Picea	3328
3331	PICPU	Picea pungens	Colorado spruce	Picea parryana	blue spruce	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Picea	3328
3333	PICRU	Picea rubens	Red spruce	Picea australis		reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Picea	3328
3332	PICSI	Picea sitchensis	Sitka spruce	Pinus sitchensis		reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Picea	3328
870730	PICAN	Pichia angusta	Yeast	Hansenula polymorpha	Hansenula angusta Teun., H.H. Hall & Wick. 1960; Ogataea angusta; Ogataea angusta (Teun., H.H. Hall & Wick.) Suh & Zhou 2010	reviewed	Species	Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetales incertae sedis; Ogataea	461281
871575	PICAD	Pichia angusta (strain ATCC 26012 / NRRL Y-7560 / DL-1)	Yeast	Hansenula polymorpha	Hansenula polymorpha DL-1; Ogataea angusta DL-1; Ogataea parapolymorpha ATCC 26012; Ogataea parapolymorpha DL-1; Pichia angusta DL-1	reviewed		Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetales incertae sedis; Ogataea	1005962
4907	PICCA	Pichia canadensis	Yeast	Hansenula wingei		reviewed	Species	Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Pichiaceae; Pichia	4919
36015	PICKL	Pichia kluyveri	Yeast			reviewed	Species	Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Pichiaceae; Pichia	4919
33166	PICME	Pichia methanolica	Yeast		Pichia cellobiosa	reviewed	Species	Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Pichiaceae; Pichia	4919
4922	PICPA	Pichia pastoris	Yeast		Komagataella pastoris; Komagataella pastoris (Guilliermond) Y.Yamada et al.; Pichia pastoris (Guillierm.) Phaff	reviewed	Species	Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetaceae; Komagataella	460517
644223	PICPG	Pichia pastoris (strain GS115 / ATCC 20864)	Yeast		Komagataella pastoris GS115; Pichia pastoris GS115	reviewed		Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetaceae; Komagataella	4922
599730	PICPJ	Pichia pijperi	Yeast		Wickerhamomyces pijperi; Wickerhamomyces pijperi (van der Walt & Tscheuschner)Kurtzman, Robnett & Basehoar-Powers	reviewed	Species	Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Pichiaceae; Pichia	4919
559304	PICSO	Pichia sorbitophila (strain ATCC MYA-4447 / BCRC 22081 / CBS 7064 / NBRC 10061 / NRRL Y-12695)	Hybrid yeast		Millerozyma farinosa CBS 7064; Pichia farinosa CBS 7064	reviewed		Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Debaryomycetaceae; Millerozyma	4920
11630	PIARV	Pichinde arenavirus	PICV		Pichinde virus	reviewed	Species	Viruses; ssRNA negative-strand viruses; Arenaviridae; Arenavirus; New world arenaviruses	208897
263820	PICTO	Picrophilus torridus (strain ATCC 700027 / DSM 9790 / JCM 10055 / NBRC 100828)			Picrophilus torridus DSM 9790; Picrophilus torridus DSM9790; Picrophilus torridus str. DSM 9790; Picrophilus torridus strain DSM 9790	reviewed		Archaea; Euryarchaeota; Thermoplasmata; Thermoplasmatales; Picrophilaceae; Picrophilus	82076
7116	PIEBR	Pieris brassicae	White butterfly	Large white butterfly	Pieris brassicae (Linnaeus, 1758); cabbage butterfly; large cabbage white; large white	reviewed	Species	Eukaryota; Metazoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Pieridae; Pierinae; Pieris	7115
10465	GVPB	Pieris brassicae granulosis virus	PbGV	Pieris brassicae granulovirus		reviewed		Viruses; dsDNA viruses, no RNA stage; Baculoviridae; Betabaculovirus	362830
64459	PIERA	Pieris rapae	Small white butterfly	Artogeia rapae	European cabbage white; Pieris rapae (Linnaeus, 1758); cabbage white; small cabbage white; small white	reviewed	Species	Eukaryota; Metazoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Pieridae; Pierinae; Pieris	7115
