Taxon	Mnemonic	Scientific name	Common name	Synonym	Other Names	Reviewed	Rank	Lineage	Parent
11788	MLVAB	Abelson murine leukemia virus			Abelson mouse leukemia virus Ab-MLV	reviewed	Species	Viruses; Retro-transcribing viruses; Retroviridae; Orthoretrovirinae; Gammaretrovirus	353207
45372	ABIAL	Abies alba	Edeltanne	European silver fir	Abies alba Mill.; Christmas-tree; abete-blanco; sapin-blanc; silver fir	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Abies	3319
66168	ABIBR	Abies bracteata	Bristle-cone fir		Santa Lucia fir	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Abies	3319
78260	ABIFI	Abies firma	Momi fir		Japanese fir	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Abies	3319
46611	ABIGR	Abies grandis	Grand fir		lowland fir; lowland white fir; silver fir; white fir; yellow fir	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Abies	3319
97168	ABIHL	Abies holophylla	Neddle fir	Manchurian fir		reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Abies	3319
78261	ABIHO	Abies homolepis	Nikko fir			reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Abies	3319
3320	ABIMA	Abies magnifica	Red fir		California red fir	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Abies	3319
78263	ABIMR	Abies mariesii	Marie's fir			reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Abies	3319
78264	ABISA	Abies sachalinensis	Sakhalin fir	Abies veitchii var. sachalinensis		reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Abies	3319
78262	ABIVE	Abies veitchii	Veitch fir			reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Coniferopsida; Coniferales; Pinaceae; Abies	3319
46125	ABIDE	Abiotrophia defectiva		Streptococcus defectivus	Abiotrophia defectiva (Bouvet et al. 1989) Kawamura et al. 1995; Abiotrophia defectivus; Streptococcus defectivus Bouvet et al. 1989	reviewed	Species	Bacteria; Firmicutes; Lactobacillales; Aerococcaceae; Abiotrophia	46123
89096	ABRAN	Abrothrix andinus	Andean mouse			reviewed	Species	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Sciurognathi; Muroidea; Cricetidae; Sigmodontinae; Abrothrix	156196
3816	ABRPR	Abrus precatorius	Indian licorice	Glycine abrus	Abrus cyaneus; crab's eye; crab's-eye; rosary pea	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; core eudicotyledons; rosids; fabids; Fabales; Fabaceae; Papilionoideae; Abreae; Abrus	3815
4829	ABSGL	Absidia glauca	Pin mould			reviewed	Species	Eukaryota; Fungi; Fungi incertae sedis; Early diverging fungal lineages; Mucoromycotina; Mucorales; Mucoraceae; Absidia	4828
126712	ABSSP	Absidia spinosa				reviewed	Species	Eukaryota; Fungi; Fungi incertae sedis; Early diverging fungal lineages; Mucoromycotina; Mucorales; Mucoraceae; Absidia	4828
10816	ABMVW	Abutilon mosaic virus (isolate West India)	AbMV		Abutilon mosaic virus - [WEST INDIA]	reviewed		Viruses; ssDNA viruses; Geminiviridae; Begomovirus	10815
3631	ABUTH	Abutilon theophrasti	Velvet-leaf	Sida abutilon	Abutilon avicennae; Abutilon theophrasti Medik.; China jute; Indian mallow; butterprint; velvetleaf	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; core eudicotyledons; rosids; malvids; Malvales; Malvaceae; Malvoideae; Abutilon	3630
61637	ABYKO	Abyssocottus korotneffi	Baikalian deep-water sculpin			reviewed	Species	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Euteleostei; Neoteleostei; Acanthomorpha; Acanthopterygii; Percomorpha; Scorpaeniformes; Cottoidei; Abyssocottidae; Abyssocottus	61636
3809	ACACO	Acacia confusa	Formosa acacia		Acacia confusa Merr.	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; core eudicotyledons; rosids; fabids; Fabales; Fabaceae; Mimosoideae; Acacieae; Acacia	3808
72368	ACAFA	Acacia farnesiana	Sweet acacia	Vachellia farnesiana	Acacia farnesiana (L.) Willd.; Vachellia farnesiana (L.) Wight & Arn.; Vachiella farnesiana; dead-finish; prickly Moses; sheep's briar	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; core eudicotyledons; rosids; fabids; Fabales; Fabaceae; Mimosoideae; Acacieae; Vachellia	468162
85306	ACALU	Acalolepta luxuriosa	Udo longhorn beetle		Acalolepta luxuriosa (Bates, 1873)	reviewed	Species	Eukaryota; Metazoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Coleoptera; Polyphaga; Cucujiformia; Chrysomeloidea; Cerambycidae; Lamiinae; Monochamini; Acalolepta	85305
8676	ACAPE	Acalyptophis peronii	Peron's sea snake	Horned sea snake	Acalyptophis peroni	reviewed	Species	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Lepidosauria; Squamata; Scleroglossa; Serpentes; Colubroidea; Hydrophiidae; Acalyptophis	8675
5755	ACACA	Acanthamoeba castellanii	Amoeba		Acanthamoeba castellani	reviewed	Species	Eukaryota; Amoebozoa; Centramoebida; Acanthamoebidae; Acanthamoeba	5754
5757	ACAPO	Acanthamoeba polyphaga	Amoeba			reviewed	Species	Eukaryota; Amoebozoa; Centramoebida; Acanthamoebidae; Acanthamoeba	5754
212035	MIMIV	Acanthamoeba polyphaga mimivirus	APMV		Acanthomoeba polyphaga mimivirus; Mimi	reviewed	Species	Viruses; dsDNA viruses, no RNA stage; Mimiviridae; Mimivirus	315393
133434	ACAPL	Acanthaster planci	Crown-of-thorns starfish		crown of thorns starfish	reviewed	Species	Eukaryota; Metazoa; Echinodermata; Eleutherozoa; Asterozoa; Asteroidea; Valvatacea; Valvatida; Acanthasteridae; Acanthaster	133433
6277	ACAVI	Acanthocheilonema viteae	Filarial nematode worm	Dipetalonema viteae		reviewed	Species	Eukaryota; Metazoa; Nematoda; Chromadorea; Spirurida; Filarioidea; Onchocercidae; Acanthocheilonema	6276
8179	ACABU	Acanthopagrus butcheri	Australian black bream		Acanthopagrus butcheri (Munro, 1949); Acanthophagrus butcheri; Mylio butcheri; southern black bream	reviewed	Species	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Euteleostei; Neoteleostei; Acanthomorpha; Acanthopterygii; Percomorpha; Perciformes; Percoidei; Sparidae; Acanthopagrus	8176
8177	ACALA	Acanthopagrus latus	Yellowfin seabream	Sparus latus	Acanthopagrus latus (Houttuyn, 1782); Acanthophagrus latus	reviewed	Species	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Euteleostei; Neoteleostei; Acanthomorpha; Acanthopterygii; Percomorpha; Perciformes; Percoidei; Sparidae; Acanthopagrus	8176
72011	ACASC	Acanthopagrus schlegelii	Black porgy		Acanthopagrus schlegeli; Acanthopagrus schlegelii (Bleeker, 1854); Mylio macrocephalus; Sparus macrocephalus; black sea bream	reviewed	Species	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Euteleostei; Neoteleostei; Acanthomorpha; Acanthopterygii; Percomorpha; Perciformes; Percoidei; Sparidae; Acanthopagrus	8176
8605	ACAAN	Acanthophis antarcticus	Common death adder		Acanthophis antarcticus (Shaw, 1794); death adder	reviewed	Species	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Lepidosauria; Squamata; Scleroglossa; Serpentes; Colubroidea; Elapidae; Acanthophiinae; Acanthophis	8604
239748	ACASE	Acanthophis rugosus	Irian Jayan death adder		Acanthophis antarcticus rugosus	reviewed	Species	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Lepidosauria; Squamata; Scleroglossa; Serpentes; Colubroidea; Elapidae; Acanthophiinae; Acanthophis	8604
412080	ACASS	Acanthophis sp. (strain Seram)	Seram death adder		Acanthophis sp. Seram	reviewed	Species	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Lepidosauria; Squamata; Scleroglossa; Serpentes; Colubroidea; Elapidae; Acanthophiinae; Acanthophis	8604
115339	ACAGO	Acanthoscurria gomesiana	Tarantula spider	Phormictopus pheopygus		reviewed	Species	Eukaryota; Metazoa; Arthropoda; Chelicerata; Arachnida; Araneae; Mygalomorphae; Theraphosidae; Acanthoscurria	115338
185140	ACAAU	Acanthospermum australe	Paraguayan starburr	Melampodium australe	Acanthospermum australe (Loefl.) Kuntze	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; core eudicotyledons; asterids; campanulids; Asterales; Asteraceae; Asteroideae; Heliantheae alliance; Millerieae; Acanthospermum	182998
66546	ACASI	Acarus siro	Dust mite			reviewed	Species	Eukaryota; Metazoa; Arthropoda; Chelicerata; Arachnida; Acari; Acariformes; Sarcoptiformes; Astigmata; Acaroidea; Acaridae; Acarinae; Acarus	66545
329726	ACAM1	Acaryochloris marina (strain MBIC 11017)			Acaryochloris marina MBIC11017	reviewed		Bacteria; Cyanobacteria; Chroococcales; Acaryochloris	155978
8957	ACCGE	Accipiter gentilis	Northern goshawk		goshawk	reviewed	Species	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Falconiformes; Accipitridae; Accipitrinae; Accipiter	8956
522306	ACCPU	Accumulibacter phosphatis (strain UW-1)			Accumulibacter phosphatis UW-1; Candidatus Accumulibacter phosphatis Type IIA str. UW-1; Candidatus Accumulibacter phosphatis clade IIA str. UW-1; Candidatus Accumulibacter phosphatis clade IIA strain UW-1; Candidatus Accumulibactor phosphatis Type IIA str. UW-1	reviewed		Bacteria; Proteobacteria; Betaproteobacteria; Candidatus Accumulibacter	327160
66205	ACECA	Acer campestre	Field maple	Hedge maple	Acer campestre L.	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; core eudicotyledons; rosids; malvids; Sapindales; Aceraceae; Acer	4022
168566	ACEMO	Acer monspessulanum	Montpellier maple		Acer monspessulanum L.	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; core eudicotyledons; rosids; malvids; Sapindales; Aceraceae; Acer	4022
4023	ACENE	Acer negundo	Box elder		Acer negundo L.; Negundo aceroides; Negundo aceroides Moench	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; core eudicotyledons; rosids; malvids; Sapindales; Aceraceae; Acer	4022
168567	ACEOP	Acer opalus	Italian maple		Acer opalus Mill.	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; core eudicotyledons; rosids; malvids; Sapindales; Aceraceae; Acer	4022
66201	ACEPM	Acer palmatum	Japanese maple		Acer palmatum Thunb.	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; core eudicotyledons; rosids; malvids; Sapindales; Aceraceae; Acer	4022
4025	ACEPL	Acer platanoides	Norway maple		Acer platanoides L.	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; core eudicotyledons; rosids; malvids; Sapindales; Aceraceae; Acer	4022
4026	ACEPS	Acer pseudoplatanus	Sycamore maple		Acer pseudoplatanus L.	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; core eudicotyledons; rosids; malvids; Sapindales; Aceraceae; Acer	4022
4024	ACESA	Acer saccharum	Sugar maple		Acer saccharum Marshall	reviewed	Species	Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; core eudicotyledons; rosids; malvids; Sapindales; Aceraceae; Acer	4022
35845	ACEAT	Acetabularia acetabulum	Mermaid's wine glass	Acetabularia mediterranea	Acetabularia acetabulum (L.) P.C.Silva	reviewed	Species	Eukaryota; Viridiplantae; Chlorophyta; Ulvophyceae; Dasycladales; Polyphysaceae; Acetabularia	3136
35862	ACECL	Acetabularia cliftonii	Green alga		Acetabularia peniculus; Acetabularia peniculus (R.Brown ex Turner) Solms-Laubach; Acetabularia peniculus var. cliftonii; Polyphysa peniculus; Polyphysa peniculus (R.Brown ex Turner) C.Agardh	reviewed	Species	Eukaryota; Viridiplantae; Chlorophyta; Ulvophyceae; Dasycladales; Polyphysaceae; Acetabularia	3136
435	ACEAC	Acetobacter aceti			"Acetimonas aceti" (Pasteur 1864) Orla-Jensen 1909; "Acetobacter aceti var. muciparum" (sic) (Hoyer) Frateur 1950; "Acetobacter ketogenum" (sic) Walker and Thomas in Bousfield et al. 1947; "Acetobacter lafarianum" (sic) Janke 1950; "Bacillus aceticus" Flugge 1886; "Bacteriopsis aceti" (Pasteur 1864) Trevisan 1885; "Bacterium aceti" (Pasteur 1864) Lanzi 1876; "Bacterium acetigenoidum" Krehan 1930; "Bacterium hansenianum" Chester 1901; "Micrococcus aceti" (Pasteur 1864) Maggi 1886; "Mycoderma aceti souches non visqueuses (membraneuses)" Pasteur 1864; Acetimonas aceti; Acetobacter (subgen. Acetobacter Beijerinck 1898) aceti (Pasteur 1864) Beijerinck 1898; Acetobacter (subgen. Acetobacter) aceti; Acetobacter aceti (Pasteur 1864) Beijerinck 1898 (Approved Lists 1980); Acetobacter aceti aceti; Acetobacter aceti orleanensis; Acetobacter aceti subsp. aceti; Acetobacter aceti subsp. aceti (Pasteur 1864) Beijerinck 1898; Acetobacter aceti subsp. aceti (Pasteur 1864) De Ley and Frateur 1974; Acetobacter aceti var. muciparum; Acetobacter ketogenum; Acetobacter lafarianum; Bacillus aceticus; Bacteriopsis aceti; Bacterium aceti; Bacterium acetigenoidum; Bacterium hansenianum; Micrococcus aceti; Mycoderma aceti souches non visqueuses (membraneuses)	reviewed	Species	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter; Acetobacter subgen. Acetobacter	151157
33995	ACEEU	Acetobacter europaeus		Gluconacetobacter europaeus	Acetobacter europaeus Sievers et al. 1992; Gluconacetobacter europaeus (Sievers et al. 1992) Yamada et al. 1998	reviewed	Species	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Gluconacetobacter	89583
89584	ACELI	Acetobacter liquefaciens		Gluconacetobacter liquefaciens	"Gluconoacetobacter liquifaciens" (sic) Asai 1935; "Gluconobacter liquifaciens" (sic) Asai 1935; Acetobacter (subgen. Gluconoacetobacter Yamada and Kondo 1985) liquefaciens (Asai 1935) Yamada and Kondo 1985; Acetobacter aceti liquefaciens; Acetobacter aceti subsp. liquefaciens; Acetobacter aceti subsp. liquefaciens (Asai 1935) De Ley and Frateur 1974 (Approved Lists 1980); Acetobacter liquefaciens (Asai 1935) Gossele et al. 1983; Gluconacetobacter liquefaciens (Asai 1935) Yamada et al. 1998; Gluconoacetobacter liquefaciens; Gluconoacetobacter liquifaciens; Gluconobacter liquifaciens; not Acetobacter liquefaciens (Asai 1935) Yamada and Tahara 1984	reviewed	Species	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Gluconacetobacter	89583
438	ACEPA	Acetobacter pasteurianus		Acetobacter turbidans	"Acetobacter acidum-mucosum" (sic) Tosic and Walker 1950; "Acetobacter agglutinans" Frateur 1950; "Acetobacter alcoholophilus" Kozulis and Parsons 1958; "Acetobacter kutzigianus" (sic) (Hansen 1894) Bergey et al. 1923; "Acetobacter mobile" (sic) Tosic and Walker 1944; "Acetobacter turbidans" Cosbie et al. 1942; "Acetobacter vini-aceti" (Henneberg 1906) Shimwell 1948; "Bacillus kuttingianum" (sic) (Hansen 1894) Takahashi 1906; "Bacillus pasteurianus" (Hansen 1879) Flugge 1886; "Bacteriopsis pasteuriana" (Hansen 1879) Trevisan 1885; "Bacterium kutzingianum" Hansen 1894; "Bacterium pastorianum" (Hansen 1879) Zopf 1883; "Bacterium rancens" Beijerinck 1898; "Bacterium vini-aceti" Henneberg 1906; "Mycoderma pasteurianum" Hansen 1879; "Pseudomonas pomi" Cole 1959; "Ulvina pasteuriana" (Hansen 1879) Pribram 1933; Acetobacter acidum-mucosum; Acetobacter agglutinans; Acetobacter alcoholophilus; Acetobacter kutzigianus; Acetobacter lovaniense; Acetobacter mobile; Acetobacter pasteurianus (Hansen 1879) Beijerinck and Folpmers 1916; Acetobacter pasteurianus ascendens; Acetobacter pasteurianus orleanensis; Acetobacter pasteurianus paradoxus; Acetobacter pasteurianus subsp. orleanensis; Acetobacter rancens; Acetobacter turbidans ATCC 9325; Acetobacter turbidans ATCC9325; Acetobacter vini-aceti; Bacillus kuttingianum; Bacillus pasteurianus; Bacteriopsis pasteuriana; Bacterium kutzingianum; Bacterium pastorianum; Bacterium rancens; Bacterium vini-aceti; Mycoderma pasteurianum; Pseudomonas pomi; Ulvina pasteuriana	reviewed	Species	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter	434
634452	ACEP3	Acetobacter pasteurianus (strain NBRC 3283 / LMG 1513 / CCTM 1153)			Acetobacter pasteurianus IFO 3283-01	reviewed		Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter	438
439	ACEPO	Acetobacter polyoxogenes			'Gluconacetobacter polyoxogenes'; Gluconacetobacter polyoxogenes	reviewed	Species	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Gluconacetobacter	89583
931626	ACEWD	Acetobacterium woodii (strain ATCC 29683 / DSM 1030 / JCM 2381 / KCTC 1655)			Acetobacterium woodii ATCC 29683; Acetobacterium woodii DSM 1030; Acetobacterium woodii WB1; Acetobacterium woodii str. DSM 1030; Acetobacterium woodii strain DSM 1030	reviewed		Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Acetobacterium	33952
2325	ACEKI	Acetogenium kivui		Thermoanaerobacter kivui	Acetogenium kivuense; Acetogenium kivui Leigh and Wolfe 1983; Thermoanaerobacter kivuense; Thermoanaerobacter kivui (Leigh and Wolfe 1983) Collins et al. 1994	reviewed	Species	Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteriaceae; Thermoanaerobacter	1754
574087	ACEAZ	Acetohalobium arabaticum (strain ATCC 49924 / DSM 5501 / Z-7288)			Acetohalobium arabaticum DSM 5501; Acetohalobium arabaticum str. DSM 5501; Acetohalobium arabaticum strain DSM 5501	reviewed		Bacteria; Firmicutes; Clostridia; Halanaerobiales; Halobacteroidaceae; Acetohalobium	28187
6530	ACHFU	Achatina fulica	Giant African snail			reviewed	Species	Eukaryota; Metazoa; Mollusca; Gastropoda; Heterobranchia; Euthyneura; Panpulmonata; Eupulmonata; Stylommatophora; Sigmurethra; Achatinoidea; Achatinidae; Achatina	6529
6997	ACHDO	Acheta domesticus	House cricket			reviewed	Species	Eukaryota; Metazoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Orthopteroidea; Orthoptera; Ensifera; Grylloidea; Gryllidae; Gryllinae; Acheta	6996
4768	ACHAM	Achlya ambisexualis	Water mold			reviewed	Species	Eukaryota; stramenopiles; Oomycetes; Saprolegniales; Saprolegniaceae; Achlya	4765
4766	ACHBI	Achlya bisexualis	Water mold		Achlya bisexuallis	reviewed	Species	Eukaryota; stramenopiles; Oomycetes; Saprolegniales; Saprolegniaceae; Achlya	4765
4767	ACHKL	Achlya klebsiana				reviewed	Species	Eukaryota; stramenopiles; Oomycetes; Saprolegniales; Saprolegniaceae; Achlya	4765
29552	ACHAX	Acholeplasma axanthum			Acholeplasma axanthum Tully and Razin 1970	reviewed	Species	Bacteria; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Acholeplasma	2147
2148	ACHLA	Acholeplasma laidlawii			"Asterococcus laidlawii" (Sabin 1941) Prevot 1961; "Mycoplasma laidlawii" (Sabin 1941) Freundt 1955; "Sapromyces laidlawi AB" (sic) Sabin 1941; "Types A and B" Laidlaw and Elford 1936; Acholeplasma laidlawaii; Acholeplasma laidlawi; Acholeplasma laidlawii (Freundt 1955 (sic)) Edward and Freundt 1970; Acholeplasma laidlawii (Sabin 1941) Edward and Freundt 1970; Asterococcus laidlawii; Mycoplasma laidlawii; Sapromyces laidlawi AB	reviewed	Species	Bacteria; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Acholeplasma	2147
441768	ACHLI	Acholeplasma laidlawii (strain PG-8A)			Acholeplasma laidlawii PG-8A; Acholeplasma laidlawii str. PG-8A; Acholeplasma laidlawii strain PG-8A	reviewed		Bacteria; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Acholeplasma	2148
46014	BPL2	Acholeplasma phage L2		Bacteriophage L2	Acholeplasma laidlawii phage L2	reviewed	Species	Viruses; dsDNA viruses, no RNA stage; Plasmaviridae; Plasmavirus	10473
38986	ACHSP	Acholeplasma sp. (strain ATCC J233)			Acholeplasma ATCC J233; Acholeplasma ATCCJ233; Acholeplasma palmae; Acholeplasma palmae Tully et al. 1994; Acholeplasma sp. (ATCC J233)	reviewed	Species	Bacteria; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Acholeplasma	2147
223	ACHCY	Achromobacter cycloclastes			"Achromobacter cycloclastes" (Gray and Thornton) Bergey et al.; 'Achromobacter cycloclastes'; Achromobacter cycolclastes	reviewed	Species	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	222
224	ACHLY	Achromobacter lyticus			"Achromobacter lyticus" Isono et al. 1972; 'Achromobacter lyticus'	reviewed	Species	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	222
129026	ACHSL	Achromobacter sp. (strain LBAA)			Achromobacter sp. LBAA	reviewed	Species	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	222
762376	ACHXA	Achromobacter xylosoxidans (strain A8)			Achromobacter xylosoxidans A8; Achromobacter xylosoxidans str. A8; Achromobacter xylosoxidans strain A8	reviewed		Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	85698
591001	ACIFV	Acidaminococcus fermentans (strain ATCC 25085 / DSM 20731 / VR4)			Acidaminococcus fermentans DSM 20731; Acidaminococcus fermentans str. DSM 20731; Acidaminococcus fermentans strain DSM 20731	reviewed		Bacteria; Firmicutes; Negativicutes; Selenomonadales; Acidaminococcaceae; Acidaminococcus	905
2283	ACIAM	Acidianus ambivalens		Desulfurolobus ambivalens	Acidianus ambivalems; Acidianus ambivalens (Zillig and Bock 1987) Fuchs et al. 1996; Desulfurolobus ambivalens Zillig and Bock 1987; Sulfolobus ambivalens	reviewed	Species	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	12914
654911	ABVP	Acidianus bottle-shaped virus (isolate Italy/Pozzuoli)	ABV		Acidianus bottle-shaped virus (isolate Pozzuoli)	reviewed		Viruses; dsDNA viruses, no RNA stage; Ampullaviridae; Ampullavirus	437444
654909	AFV1Y	Acidianus filamentous virus 1 (isolate United States/Yellowstone)	AFV-1		Acidianus filamentous virus 1 (isolate Yellowstone)	reviewed		Viruses; dsDNA viruses, no RNA stage; Lipothrixviridae; Gammalipothrixvirus	235266
654910	AFV2P	Acidianus filamentous virus 2 (isolate Italy/Pozzuoli)	AFV-2		Acidianus filamentous virus 2 (isolate Pozzuoli)	reviewed		Viruses; dsDNA viruses, no RNA stage; Lipothrixviridae; Deltalipothrixvirus	300186
12915	ACIIN	Acidianus infernus			Acidianus infernus Segerer et al. 1986	reviewed	Species	Archaea; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	12914
315953	ATV	Acidianus two-tailed virus	ATV			reviewed	Species	Viruses; dsDNA viruses, no RNA stage; Bicaudaviridae; Bicaudavirus	680194
666510	ACIS3	Acidilobus saccharovorans (strain DSM 16705 / VKM B-2471 / 345-15)			Acidilobus saccharovorans 345-15; Acidilobus saccharovorans str. 345-15; Acidilobus saccharovorans strain 345-15; Acidilobus sp. 345-15	reviewed		Archaea; Crenarchaeota; Thermoprotei; Acidilobales; Acidilobaceae; Acidilobus	242703
525909	ACIFD	Acidimicrobium ferrooxidans (strain DSM 10331 / JCM 15462 / NBRC 103882 / ICP)			Acidimicrobium ferrooxidans DSM 10331; Acidimicrobium ferrooxidans ICP; Acidimicrobium ferrooxidans str. DSM 10331; Acidimicrobium ferrooxidans strain DSM 10331	reviewed		Bacteria; Actinobacteria; Acidimicrobidae; Acidimicrobiales; Acidimicrobineae; Acidimicrobiaceae; Acidimicrobium	53635
524	ACICY	Acidiphilium cryptum			Acidiphilium cryptum Harrison 1981; Acidiphilum cryptum	reviewed	Species	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acidiphilium	522
349163	ACICJ	Acidiphilium cryptum (strain JF-5)			Acidiphilium cryptum JF-5; Acidiphilium cryptum str. JF-5; Acidiphilium cryptum strain JF-5; Acidiphilum cryptum JF-5	reviewed		Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acidiphilium	524
525	ACIFA	Acidiphilium facilis			Acidiphilium facile; Acidiphilium facile corrig. Wichlacz et al. 1986; Acidiphilum facilis; Acidocella facilis; Acidocella facilis (Wichlacz et al. 1986) Kishimoto et al. 1996	reviewed	Species	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acidocella	50709
62140	ACIMU	Acidiphilium multivorum			Acidiphilium multivorum Wakao et al. 1995; Acidiphilum multivorum	reviewed	Species	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acidiphilium	522
